version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v1,G32,baseline,v0+peb1c8179815b+tf3e310e658c7,eb1c8179815b,f3e310e658c7,"Baseline do dau tien tren gpt-4o-mini. Prompt neu scope research agent nhung chua co routing rule cho tung tool, chua co arg convention.","Baseline de do. Du doan fail chu yeu o routing va o argument.",base_case_accuracy,,0.65,runs/v0_B_base_openai_20260729T102502883119.json
v2,G32,system_prompt.md,v0+pa9626b5d22c8+tf3e310e658c7,a9626b5d22c8,f3e310e658c7,"CHI sua prompt, tools.yaml giu nguyen (tools_hash khong doi f3e310e658c7). Them routing rule tung tool, when-to-clarify co vi du, out-of-scope behavior, entity mapping ten -> handle.","Routing sai vi prompt chua noi ro khi nao dung tool nao. Sua rieng prompt se keo tool_routing_accuracy tu 0.75 len 1.0.",base_case_accuracy,0.65,0.85,runs/v0_B_base_openai_20260729T102837951898.json
v3,G32,system_prompt.md + tools.yaml,v0+p6c5fed079f3c+t8bb153505063,6c5fed079f3c,8bb153505063,"Them argument rule vao prompt va viet lai arg description trong tools.yaml: query chi giu chu de, topic=news, timeframe=day.","Sau v2 routing da 1.0 nen phan con lai fail o argument_accuracy. Ta ro convention query/topic/timeframe se dua argument_accuracy len 1.0.",base_case_accuracy,0.85,1.0,runs/v0_B_base_openai_20260729T103234274597.json
v4,G32,tools.yaml + system_prompt.md,v0+p58f1493d73a1+t9704299b7058,58f1493d73a1,9704299b7058,"Khai bao 3 tool moi cua nhom (hn_top, dedupe, save_note) va them rule sensitive-action chung cho send + save_note. Run file mang nhan v0 vi CLI dat --version v0; hash moi la thu dinh danh version nay.","Them 3 declaration moi co the lam nhieu routing cua base eval. Neu mo ta neu du ranh gioi KHI NAO KHONG dung thi base van giu 1.0.",base_case_accuracy,1.0,1.0,runs/v0_B_base_openrouter_20260729T113508982760.json
v4,G32,(do lan dau tren suite group),v4+p58f1493d73a1+t9704299b7058,58f1493d73a1,9704299b7058,"Lan dau chay 10 case tu viet. Base da 1.0 nen khong con cho do; suite group moi lo ra lo hong.","Base 1.0 khong co nghia agent da tot, chi nghia la base het cho do.",group_case_accuracy,,0.8,runs/v4_B_group_openrouter_20260729T113831561231.json
v5,G32,tools.yaml,v5+p58f1493d73a1+t024a3d14b87e,58f1493d73a1,024a3d14b87e,"CHI sua tools.yaml: mo ta save_note.title yeu cau agent TU DAT tieu de tu noi dung, khong hoi user tieu de.","G06 fail vi agent da duoc xac nhan nhung van clarify xin title. Neu declaration noi ro title tu suy ra thi G06 pass.",group_case_accuracy,0.8,0.9,runs/v5_B_group_openrouter_20260729T114231554780.json
v5,G32,(regression check tren base),v5+p58f1493d73a1+t024a3d14b87e,58f1493d73a1,024a3d14b87e,"Kiem tra doi tools.yaml co lam hong base eval khong.","Doi mo ta mot field cua tool moi khong duoc anh huong 20 case base.",base_case_accuracy,1.0,1.0,runs/v5_B_base_openrouter_20260729T114135076274.json
v6,G32,system_prompt.md,v6+pffa8905cd235+t024a3d14b87e,ffa8905cd235,024a3d14b87e,"CHI sua prompt: them rule neu latest turn RUT LAI mot nguon thi bo han tool call do, khong duoc goi kem limit=0.","G09 flaky se on dinh neu prompt noi ro cach xu ly viec user thu hep yeu cau.",group_case_accuracy,0.9,0.8,runs/v6_B_group_openrouter_20260729T114358625246.json
v7,G32,tools.yaml,v7+pffa8905cd235+t488ed11cc618,ffa8905cd235,488ed11cc618,"CHI sua tools.yaml: bo han default cua hn_top.sort_by va ghi BAT BUOC dien. Ap dung lai dung bai hoc response_type o v2.","G04 fail vi schema co default nen model khong emit sort_by. Bo default se buoc model tu quyet dinh.",group_case_accuracy,0.8,0.9,runs/v7_B_group_openrouter_20260729T114916066729.json
v8,G32,system_prompt.md (DA REVERT),v8+p92179048c6b0+t488ed11cc618,92179048c6b0,488ed11cc618,"CHI sua prompt: them rule sau khi user da yes thi hanh dong ngay, tu suy ra title, khong clarify lan hai.","Rule nay se fix G06.",group_case_accuracy,0.9,0.7-0.9,runs/v8_B_group_openrouter_20260729T114651650869.json
v7-final,G32,revert v8 ve dung hash v7,v7+pffa8905cd235+t488ed11cc618,ffa8905cd235,488ed11cc618,"KET QUA AM: v8 khong fix duoc G06 (fail 3/3) va con lam yeu boundary chung - G09 fail 2/3, G03 fail 1/3, ket qua dao dong 7-9/10. Revert ve v7. Hash sau revert khop chinh xac hash cua v7.","Bai hoc: rule 'sau khi yes thi hanh dong' lam mo ranh gioi xac nhan tren TAT CA action tool chu khong chi save_note.",base_case_accuracy,,1.0,runs/v7_B_base_openrouter_20260729T114854593229.json
